1540892278.42383,271.345215
1540892278.50084,273.473145
1540892278.60125,275.623413
1540892278.70234,23.121687
1540892278.80223,21.495575
1540892278.90252,22.871792
1540892279.00310,24.339128
1540892279.10405,24.87945
1540892279.20386,25.361113
1540892279.30485,25.221663
1540892279.40540,25.792864
1540892279.50589,26.709982
1540892279.60639,27.674952
1540892279.70701,28.456968
1540892279.80727,27.079058
1540892279.90931,25.019556
1540892280.01116,23.955191
1540892280.10907,23.91568
1540892280.21142,23.692921
1540892280.30984,23.40904
1540892280.41063,23.226347
1540892280.51100,22.942825
1540892280.61165,22.838261
1540892280.71207,22.145685
1540892280.81246,21.642063
1540892280.91326,20.999483
1540892281.01376,20.546642
1540892281.11419,19.408993
1540892281.21480,14.007342
1540892281.31502,3.103499
1540892281.41595,155.213104
1540892281.51646,172.303207
1540892281.61703,295.880798
1540892281.71736,308.673615
1540892281.81763,317.16449
1540892281.91821,321.788086
1540892282.01875,325.009186
1540892282.11952,322.567078
1540892282.21982,319.974976
1540892282.32067,310.410004
1540892282.42121,305.771088
1540892282.52744,308.350006
1540892282.62188,315.292603
1540892282.72238,320.089325
1540892282.82301,305.954681
1540892282.92359,294.110718
1540892283.02471,284.955017
1540892283.12455,279.352386
1540892283.22489,277.072998
1540892283.32538,277.025696
1540892283.42603,277.433868
1540892283.52701,296.31958
1540892283.62743,154.196106
1540892283.72813,18.146017
1540892283.82878,18.554474
1540892283.92901,17.734924
1540892284.02963,18.331146
1540892284.12986,19.57708
1540892284.23063,18.798553
1540892284.33107,18.524658
1540892284.43204,17.914242
1540892284.53207,7.871144
1540892284.63268,146.783051
1540892284.73424,157.421768
1540892284.83365,291.731628
1540892284.93434,303.854126
1540892285.03491,309.943359
1540892285.13557,310.443329
1540892285.23600,316.142273
1540892285.33655,324.799896
1540892285.43711,332.311188
1540892285.53781,334.38385
1540892285.63807,332.912842
1540892285.73862,321.249298
1540892285.83913,302.082458
1540892285.94014,297.718384
1540892286.04082,156.752792
1540892286.14099,35.213181
1540892286.24198,35.672508
1540892286.34269,35.928268
1540892286.44195,34.738922
1540892286.54281,34.01157
1540892286.64356,33.539867
1540892286.74384,26.712988
1540892286.84435,141.103058
1540892286.94546,136.204712
1540892287.04529,163.974991
1540892287.14588,310.332184
1540892287.24653,324.610535
1540892287.34703,331.033112
1540892287.44764,340.924713
1540892287.54803,208.717911
1540892287.64850,199.610306
1540892287.74909,194.644379
1540892287.84975,188.650101
1540892287.95020,195.740219
1540892288.05079,201.782318
1540892288.15132,217.122009
1540892288.25191,209.555023
1540892288.35232,215.692215
1540892288.45291,216.740784
1540892288.55342,217.419952
1540892288.65372,216.083099
1540892288.75451,215.58226
1540892288.85504,214.543091
1540892288.95550,213.666031
1540892289.05610,213.421509
1540892289.15670,213.101837
1540892289.25709,213.716736
1540892289.36026,214.091873
1540892289.45882,213.043701
1540892289.55924,214.211319
1540892289.65935,215.286301
1540892289.75952,215.760605
1540892289.86013,145.042358
1540892289.96122,132.960449
1540892290.06130,129.219116
1540892290.16172,135.188248
1540892290.26241,139.088913
1540892290.36301,135.712173
1540892290.46345,135.300568
1540892290.56402,133.195023
1540892290.66475,130.266968
1540892290.76502,128.62796
1540892290.86563,131.054413
1540892290.96609,133.325928
1540892291.06672,134.707504
1540892291.16722,138.647186
1540892291.26790,142.165314
1540892291.36818,145.938568
1540892291.46869,148.952469
1540892291.56958,151.475754
1540892291.66991,156.416107
1540892291.77028,161.884415
1540892291.87113,164.442535
1540892291.97163,166.572418
1540892292.07206,168.638977
1540892292.17269,169.197754
1540892292.27307,170.073975
1540892292.37379,170.563446
1540892292.47663,170.316177
1540892292.57551,170.068756
1540892292.67518,169.741562
1540892292.77634,169.858414
1540892292.87622,170.160034
1540892292.97671,170.302567
1540892293.07741,170.654449
1540892293.17798,171.146805
1540892293.27832,171.477753
1540892293.37901,171.608307
1540892293.47960,171.401337
1540892293.57994,170.84465
1540892293.68048,170.129654
1540892293.78121,169.724548
1540892293.88189,169.168137
1540892293.98221,168.535995
1540892294.08274,168.314514
1540892294.18337,168.145111
1540892294.28375,167.870972
1540892294.38411,167.776413
1540892294.48483,167.823669
1540892294.58515,167.913803
1540892294.68590,167.981888
1540892294.78639,168.215439
1540892294.88703,168.327789
1540892294.98752,168.353485
1540892295.08787,168.42395
1540892295.18813,168.5159
1540892295.28862,168.662796
1540892295.38933,168.7061
1540892295.49021,168.694946
1540892295.59451,168.669174
1540892295.69091,168.523453
1540892295.79134,168.406403
1540892295.89175,168.286224
1540892295.99252,168.210739
1540892296.09295,168.014694
1540892296.19351,168.012482
1540892296.29426,167.986557
1540892296.39484,168.072235
1540892296.49530,168.088074
1540892296.59573,168.026138
1540892296.69620,168.033249
1540892296.79690,168.016281
1540892296.89746,167.87323
1540892296.99801,167.924927
1540892297.09860,168.037949
1540892297.19914,168.002777
1540892297.29940,168.005295
1540892297.40008,168.090652
1540892297.50072,168.161133
1540892297.60122,168.219101
1540892297.70173,168.377747
1540892297.80227,168.43895
1540892297.90276,168.508835
1540892298.00327,168.537109
1540892298.10406,168.33252
1540892298.20440,167.689896
1540892298.30484,168.023376
1540892298.40539,169.573898
1540892298.50598,171.272247
1540892298.60638,172.430862
1540892298.70735,172.650726
1540892298.80749,172.61438
1540892298.90813,171.492126
1540892299.00851,170.494919
1540892299.10933,169.657562
1540892299.20964,169.042725
1540892299.31014,168.335739
1540892299.41054,169.049408
1540892299.51103,170.04335
1540892299.61170,168.699295
1540892299.71229,166.309433
1540892299.81296,168.038559
1540892299.91332,171.82373
1540892300.01378,174.861282
1540892300.11438,176.292007
1540892300.21485,180.507401
1540892300.31549,183.724182
1540892300.41586,185.933929
1540892300.51655,190.040878
1540892300.61704,195.515045
1540892300.71761,198.666916
1540892300.81815,202.796463
